 Frame  ID  CentroidX  CentroidY  Width  Length  Area  Angle  Box_TLX  Box_TLY  Box_BRX  Box_BRY  Box_W  Box_H  rBox_TLX  rBox_TLY  rBox_TRX  rBox_TRY  rBox_BRX  rBox_BRY  rBox_BLX  rBox_BLY  lBox_TLX  lBox_TLY  lBox_BRX  lBox_BRY  Label   DIDnas   NONpro   PARcau
    21   0       1069       2728 10.000  11.000  80.5 90.000     1065     2723     1076     2735     11     12      1065      2723      1075      2723      1075      2734      1065      2734      1040      2698      1101      2760 PARcau 0.075482 0.314424 0.610094
    22   0       1071       2725 10.512  12.748 101.0 26.565     1066     2720     1079     2733     13     13      1069      2717      1079      2722      1073      2733      1064      2729      1041      2695      1104      2758 PARcau 0.024128 0.895128 0.080744
    23   0       1076       2723 10.607  13.435 105.0 45.000     1070     2718     1084     2730     14     12      1068      2724      1077      2714      1085      2722      1075      2731      1045      2693      1109      2755 PARcau 0.003267 0.928999 0.067734
    24   0       1082       2722 11.000  13.000 114.5 90.000     1076     2717     1090     2729     14     12      1076      2717      1089      2717      1089      2728      1076      2728      1051      2692      1115      2754 PARcau 0.030289 0.934098 0.035613
    25   0       1088       2724 11.000  13.000 105.5 90.000     1082     2719     1096     2731     14     12      1082      2719      1095      2719      1095      2730      1082      2730      1057      2694      1121      2756 PARcau 0.049277 0.863145 0.087578
    26   0       1094       2728 10.308  14.603  99.5 36.870     1088     2722     1101     2735     13     13      1091      2719      1103      2728      1096      2736      1085      2727      1063      2697      1126      2760 PARcau 0.045517 0.362353 0.592130
    27   0       1097       2733 11.000  12.000 102.0 90.000     1092     2728     1104     2741     12     13      1092      2728      1103      2728      1103      2740      1092      2740      1067      2703      1129      2766 PARcau 0.803244 0.107009 0.089747
    28   0       1098       2739 10.000  13.000 104.0 90.000     1093     2733     1104     2747     11     14      1093      2733      1103      2733      1103      2746      1093      2746      1068      2708      1129      2772 PARcau 0.064532 0.853683 0.081785
    29   0       1097       2743 10.000  13.000  98.0 90.000     1092     2737     1103     2751     11     14      1092      2737      1102      2737      1102      2750      1092      2750      1067      2712      1128      2776 PARcau 0.929534 0.006827 0.063639
    30   0       1095       2745 10.000  11.000  92.0 90.000     1090     2741     1102     2752     12     11      1090      2741      1101      2741      1101      2751      1090      2751      1065      2716      1127      2777 PARcau 0.395899 0.121859 0.482242
    31   0       1092       2745 10.000  11.000  86.5 90.000     1087     2741     1099     2752     12     11      1087      2741      1098      2741      1098      2751      1087      2751      1062      2716      1124      2777 PARcau 0.012566 0.631864 0.355570
    32   0       1090       2743 11.000  11.000  93.0 90.000     1085     2738     1097     2750     12     12      1085      2738      1096      2738      1096      2749      1085      2749      1060      2713      1122      2775 PARcau 0.053273 0.870739 0.075989
    33   0       1089       2738 10.000  13.000  99.5 90.000     1084     2732     1095     2746     11     14      1084      2732      1094      2732      1094      2745      1084      2745      1059      2707      1120      2771 PARcau 0.188956 0.670467 0.140577
    34   0       1089       2731 10.000  14.000 104.5 90.000     1084     2725     1095     2740     11     15      1084      2725      1094      2725      1094      2739      1084      2739      1059      2700      1120      2765 PARcau 0.995660 0.000555 0.003785
    35   0       1091       2725 11.314  12.728 107.5 45.000     1086     2719     1098     2734     12     15      1083      2726      1092      2717      1100      2725      1091      2734      1061      2694      1123      2759 PARcau 0.046389 0.831511 0.122100
    36   0       1096       2721 11.885  13.463 106.5 15.945     1091     2715     1104     2730     13     15      1092      2713      1104      2716      1100      2729      1089      2726      1066      2690      1129      2755 PARcau 0.969074 0.000241 0.030685
    37   0       1103       2719 13.000  14.000 128.0 90.000     1096     2713     1110     2728     14     15      1096      2713      1109      2713      1109      2727      1096      2727      1071      2688      1135      2753 PARcau 0.274082 0.504613 0.221305
    38   0       1110       2719 13.124  14.705 137.0 18.435     1103     2713     1118     2728     15     15      1105      2711      1119      2715      1115      2728      1101      2723      1078      2688      1143      2753 PARcau 0.784251 0.107424 0.108325
    39   0       1116       2721 13.000  14.000 141.5 90.000     1109     2715     1124     2729     15     14      1109      2715      1123      2715      1123      2728      1109      2728      1084      2690      1149      2754 PARcau 0.094839 0.716148 0.189012
    40   0       1121       2724 11.314  15.556 127.5 45.000     1115     2718     1129     2732     14     14      1120      2714      1131      2725      1123      2733      1112      2722      1090      2693      1154      2757 PARcau 0.186509 0.148193 0.665298
    41   0       1125       2727 12.000  12.000 118.5 90.000     1119     2721     1132     2734     13     13      1119      2721      1131      2721      1131      2733      1119      2733      1094      2696      1157      2759 PARcau 0.765261 0.044612 0.190128
    42   0       1128       2728 11.000  12.000 105.0 90.000     1122     2723     1135     2735     13     12      1122      2723      1134      2723      1134      2734      1122      2734      1097      2698      1160      2760 PARcau 0.409679 0.443045 0.147276
    43   0       1130       2728 11.000  11.000  97.0 90.000     1125     2723     1137     2735     12     12      1125      2723      1136      2723      1136      2734      1125      2734      1100      2698      1162      2760 PARcau 0.352288 0.612597 0.035114
