 Frame  ID  CentroidX  CentroidY  Width  Length  Area  Angle  Box_TLX  Box_TLY  Box_BRX  Box_BRY  Box_W  Box_H  rBox_TLX  rBox_TLY  rBox_TRX  rBox_TRY  rBox_BRX  rBox_BRY  rBox_BLX  rBox_BLY  lBox_TLX  lBox_TLY  lBox_BRX  lBox_BRY  Label   DIDnas       NONpro   PARcau
    21   0       2651       2786 10.000  13.000 104.0 90.000     2646     2780     2657     2794     11     14      2646      2780      2656      2780      2656      2793      2646      2793      2621      2755      2682      2819 PARcau 0.137650 9.514286e-04 0.861399
    21   1       3266       2300  3.000  14.000  26.5 90.000     3259     2299     3274     2303     15      4      3259      2299      3273      2299      3273      2302      3259      2302      3234      2274      3299      2328 PARcau 0.020048 2.988074e-03 0.976964
    21   2       1167       2208  5.657   7.071  32.0 45.000     1163     2205     1172     2213      9      8      1162      2209      1167      2204      1171      2208      1166      2213      1138      2180      1197      2238 PARcau 0.719092 2.625247e-03 0.278283
    21   3        907       1618  5.099  14.142  52.5  8.130      900     1616      915     1623     15      7       900      1615       914      1617       913      1622       899      1620       875      1591       940      1648 PARcau 0.047337 8.265989e-04 0.951837
    22   2       1167       2209  7.071   7.071  28.0 45.000     1164     2205     1172     2214      8      9      1167      2204      1172      2209      1167      2214      1162      2209      1139      2180      1197      2239 PARcau 0.953821 1.083100e-03 0.045095
    22   0       2653       2797 12.748  16.325 154.5 63.435     2647     2789     2661     2806     14     17      2643      2792      2655      2787      2662      2801      2651      2807      2622      2764      2686      2831 PARcau 0.425877 2.290146e-04 0.573894
    22   3        921       1612  5.000  15.000  55.0 36.870      917     1605      927     1619     10     14       915      1616       924      1604       928      1607       919      1619       892      1580       952      1644 PARcau 0.136633 3.263273e-04 0.863041
    22   1       3248       2297  7.071  12.728  74.5 45.000     3244     2291     3255     2303     11     12      3246      2290      3255      2299      3250      2304      3241      2295      3219      2266      3280      2328 PARcau 0.836936 1.331323e-03 0.161733
    23   2       1167       2209  5.657   7.071  36.5 45.000     1164     2206     1173     2214      9      8      1163      2210      1168      2205      1172      2209      1167      2214      1139      2181      1198      2239 PARcau 0.516989 5.850001e-02 0.424511
    23   0       2653       2803 12.298  13.865 128.5 26.565     2648     2797     2661     2812     13     15      2651      2794      2662      2800      2656      2812      2645      2807      2623      2772      2686      2837 PARcau 0.232287 1.288024e-02 0.754832
    23   1       3247       2281  5.099  13.601  39.5 16.699     3245     2274     3253     2288      8     14      3247      2273      3252      2274      3248      2287      3243      2286      3220      2249      3278      2313 PARcau 0.186547 5.387268e-03 0.808066
    23   3        930       1595  7.071  13.454  72.5 45.000      925     1590      936     1602     11     12       922      1597       932      1588       937      1593       927      1602       900      1565       961      1627 PARcau 0.554266 9.620995e-04 0.444772
    24   2       1168       2210  7.159   8.732  35.0 14.036     1164     2206     1173     2215      9      9      1164      2205      1173      2207      1171      2214      1163      2212      1139      2181      1198      2240 PARcau 0.848756 5.319376e-03 0.145924
    24   0       2650       2803 12.000  13.000 132.0 90.000     2645     2797     2658     2811     13     14      2645      2797      2657      2797      2657      2810      2645      2810      2620      2772      2683      2836 PARcau 0.012175 7.165845e-03 0.980659
    24   3        940       1595  5.831  14.422  67.5 33.690      934     1591      948     1602     14     11       936      1589       948      1597       945      1602       933      1594       909      1566       973      1627 PARcau 0.009884 8.449748e-04 0.989271
    24   1       3262       2259  6.364  13.435  61.0 45.000     3257     2255     3268     2266     11     11      3254      2262      3264      2253      3268      2257      3259      2267      3232      2230      3293      2291 PARcau 0.265664 2.123476e-03 0.732213
    25   2       1168       2210  7.280   9.487  43.0 71.565     1164     2207     1174     2215     10      8      1163      2208      1172      2205      1174      2212      1165      2215      1139      2182      1199      2240 PARcau 0.748550 1.335648e-02 0.238093
    25   0       2645       2796 12.021  16.263 149.5 45.000     2639     2788     2653     2805     14     17      2644      2786      2655      2797      2647      2806      2635      2794      2614      2763      2678      2830 PARcau 0.057272 1.428697e-03 0.941299
    25   1       3266       2255  8.000  10.000  61.0 90.000     3261     2251     3272     2260     11      9      3261      2251      3271      2251      3271      2259      3261      2259      3236      2226      3297      2285 PARcau 0.959812 1.859750e-02 0.021591
    25   3        956       1607  8.000  12.000  70.0 90.000      951     1604      964     1613     13      9       951      1604       963      1604       963      1612       951      1612       926      1579       989      1638 PARcau 0.024788 1.360642e-04 0.975076
    26   2       1169       2211  7.000  10.000  45.0 90.000     1164     2208     1175     2216     11      8      1164      2208      1174      2208      1174      2215      1164      2215      1139      2183      1200      2241 PARcau 0.952750 8.579805e-04 0.046392
    26   1       3254       2261  3.162  12.649  30.0 71.565     3248     2259     3261     2266     13      7      3247      2262      3259      2258      3260      2261      3248      2265      3223      2234      3286      2291 PARcau 0.041958 1.519448e-02 0.942848
    26   0       2638       2786  9.192  13.435  97.0 45.000     2633     2781     2645     2794     12     13      2637      2778      2647      2788      2640      2794      2631      2785      2608      2756      2670      2819 PARcau 0.579284 8.411856e-03 0.412304
    26   3        966       1601  4.743  13.285  52.5 20.556      963     1595      971     1608      8     13       966      1594       971      1595       966      1608       962      1606       938      1570       996      1633 PARcau 0.039195 2.322923e-04 0.960573
    27   2       1169       2211  7.000   9.000  45.0 90.000     1165     2208     1175     2216     10      8      1165      2208      1174      2208      1174      2215      1165      2215      1140      2183      1200      2241 PARcau 0.878748 9.667417e-02 0.024577
    27   0       2631       2785  9.618  11.853  86.5 63.435     2625     2780     2638     2791     13     11      2623      2783      2634      2778      2638      2786      2628      2792      2600      2755      2663      2816 PARcau 0.797253 5.712902e-04 0.202176
    27   3        973       1581  5.148  12.748  52.0 26.565      970     1576      979     1589      9     13       968      1586       974      1575       978      1577       973      1589       945      1551      1004      1614 PARcau 0.686766 1.841353e-03 0.311393
    27   1       3230       2270  7.000  14.000  71.0 90.000     3224     2267     3239     2275     15      8      3224      2267      3238      2267      3238      2274      3224      2274      3199      2242      3264      2300 PARcau 0.362760 4.437470e-02 0.592865
    28   2       1170       2212  7.649   7.649  42.0 11.310     1166     2208     1175     2217      9      9      1167      2207      1174      2209      1173      2216      1165      2215      1141      2183      1200      2242 PARcau 0.919770 4.455281e-03 0.075775
    28   0       2624       2792 11.314  14.866 125.5 45.000     2618     2785     2631     2800     13     15      2615      2793      2626      2783      2634      2791      2623      2801      2593      2760      2656      2825 PARcau 0.454014 2.810571e-03 0.543176
    28   1       3221       2268  8.000  12.000  77.0 90.000     3218     2262     3227     2275      9     13      3218      2262      3226      2262      3226      2274      3218      2274      3193      2237      3252      2300 PARcau 0.977367 9.898811e-05 0.022534
    28   3        986       1576  5.590  13.463  51.0 14.036      980     1573      994     1580     14      7       980      1571       993      1575       992      1580       979      1577       955      1548      1019      1605 PARcau 0.027194 1.997527e-03 0.970809
    29   2       1170       2212  8.062   8.944  44.0 26.565     1166     2208     1176     2217     10      9      1169      2206      1176      2210      1172      2218      1165      2214      1141      2183      1201      2242 PARcau 0.904554 6.576205e-04 0.094788
    29   0       2621       2799 12.298  15.207 137.0 26.565     2615     2792     2628     2808     13     16      2619      2789      2630      2795      2623      2808      2612      2803      2590      2767      2653      2833 PARcau 0.390182 4.136064e-05 0.609777
    29   1       3230       2252  4.243  15.556  43.5 45.000     3225     2247     3237     2259     12     12      3223      2256      3234      2245      3237      2248      3226      2259      3200      2222      3262      2284 PARcau 0.000005 2.574412e-06 0.999992
    29   3       1004       1581  7.000  13.000  72.5 90.000      998     1578     1012     1586     14      8       998      1578      1011      1578      1011      1585       998      1585       973      1553      1037      1611 PARcau 0.977195 3.318391e-04 0.022473
    30   2       1170       2212  7.000   9.000  38.0 90.000     1166     2209     1176     2217     10      8      1166      2209      1175      2209      1175      2216      1166      2216      1141      2184      1201      2242 PARcau 0.825792 6.658417e-02 0.107624
    30   0       2621       2801 11.000  12.000 113.5 90.000     2616     2795     2628     2808     12     13      2616      2795      2627      2795      2627      2807      2616      2807      2591      2770      2653      2833 PARcau 0.024005 4.482045e-05 0.975950
    30   3       1010       1573  7.071  14.142  73.5  6.340     1007     1566     1015     1581      8     15      1008      1565      1015      1566      1013      1580      1006      1579       982      1541      1040      1606 PARcau 0.510405 9.858073e-04 0.488609
    30   1       3246       2235  5.408  15.532  56.5 33.690     3241     2229     3252     2242     11     13      3239      2240      3248      2227      3252      2230      3244      2243      3216      2204      3277      2267 PARcau 0.316600 4.680340e-04 0.682932
    31   2       1171       2213  8.000   9.000  46.0  0.000     1167     2209     1176     2219      9     10      1167      2209      1175      2209      1175      2218      1167      2218      1142      2184      1201      2244 PARcau 0.721694 5.027328e-03 0.273279
    31   0       2622       2795 11.705  15.232 134.0 21.801     2617     2787     2630     2804     13     17      2620      2786      2631      2790      2625      2804      2614      2800      2592      2762      2655      2829 PARcau 0.438931 7.955327e-03 0.553113
    31   1       3246       2221  5.701  12.903  51.5 54.462     3241     2217     3252     2228     11     11      3244      2214      3252      2224      3247      2228      3240      2217      3216      2192      3277      2253 PARcau 0.425096 1.929957e-02 0.555604
    31   3       1011       1552  6.000  14.000  64.5 90.000     1009     1546     1016     1561      7     15      1009      1546      1015      1546      1015      1560      1009      1560       984      1521      1041      1586 PARcau 0.911947 1.688047e-04 0.087884
    32   2       1171       2214  7.826   9.394  39.5 63.435     1166     2209     1176     2219     10     10      1165      2210      1172      2207      1176      2215      1169      2219      1141      2184      1201      2244 PARcau 0.924559 9.604438e-03 0.065836
    32   0       2619       2785  9.899  14.142 101.0 45.000     2614     2779     2626     2793     12     14      2618      2777      2628      2787      2621      2794      2611      2784      2589      2754      2651      2818 PARcau 0.944738 5.941617e-04 0.054668
    32   3       1020       1543  7.000  15.000  75.5 90.000     1014     1540     1030     1548     16      8      1014      1540      1029      1540      1029      1547      1014      1547       989      1515      1055      1573 PARcau 0.837451 4.752866e-04 0.162074
    32   1       3224       2209  5.385  13.416  50.0 26.565     3219     2206     3232     2214     13      8      3219      2204      3231      2210      3229      2215      3217      2209      3194      2181      3257      2239 PARcau 0.006715 1.325586e-04 0.993153
    33   2       1171       2214  6.403   8.602  36.0 53.130     1168     2211     1177     2219      9      8      1166      2214      1173      2209      1177      2214      1170      2219      1143      2186      1202      2244 PARcau 0.729677 1.279670e-03 0.269044
    33   0       2610       2781 10.000  13.000 110.0 90.000     2604     2776     2618     2787     14     11      2604      2776      2617      2776      2617      2786      2604      2786      2579      2751      2643      2812 PARcau 0.193171 1.341682e-03 0.805487
    33   1       3219       2204  9.000  11.000  74.5 90.000     3214     2200     3226     2210     12     10      3214      2200      3225      2200      3225      2209      3214      2209      3189      2175      3251      2235 PARcau 0.715223 7.458387e-02 0.210193
    33   3       1041       1543  5.000  15.000  66.0 90.000     1034     1541     1050     1547     16      6      1034      1541      1049      1541      1049      1546      1034      1546      1009      1516      1075      1572 PARcau 0.156166 5.075052e-03 0.838759
    34   2       1171       2214  8.322   9.014  48.5 56.310     1167     2211     1177     2220     10      9      1165      2212      1172      2208      1177      2215      1170      2220      1142      2186      1202      2245 PARcau 0.462416 2.477561e-02 0.512809
    34   0       2601       2786  9.899  14.866 116.5 45.000     2596     2780     2609     2794     13     14      2593      2788      2603      2777      2610      2784      2600      2795      2571      2755      2634      2819 PARcau 0.944099 1.768629e-03 0.054132
    34   3       1053       1540  9.000  12.000  85.0 90.000     1049     1534     1059     1547     10     13      1049      1534      1058      1534      1058      1546      1049      1546      1024      1509      1084      1572 PARcau 0.943107 5.165050e-03 0.051728
    35   2       1172       2215  6.021   8.902  37.5 51.340     1168     2212     1177     2220      9      8      1167      2216      1174      2211      1178      2215      1171      2221      1143      2187      1202      2245 PARcau 0.943158 2.102347e-03 0.054739
    35   3       1052       1537  9.000  10.000  74.5 90.000     1047     1533     1058     1543     11     10      1047      1533      1057      1533      1057      1542      1047      1542      1022      1508      1083      1568 PARcau 0.814453 1.574210e-01 0.028126
    35   0       2598       2795 12.000  15.000 151.5 90.000     2592     2788     2605     2804     13     16      2592      2788      2604      2788      2604      2803      2592      2803      2567      2763      2630      2829 PARcau 0.821520 2.731492e-03 0.175748
    35   1       3254       2183  5.590  13.865  56.5 26.565     3251     2178     3260     2191      9     13      3249      2189      3255      2176      3260      2179      3254      2191      3226      2153      3285      2216 PARcau 0.027261 7.203334e-04 0.972019
    36   2       1173       2216  7.500   8.201  35.5 36.870     1168     2211     1178     2221     10     10      1172      2210      1178      2214      1173      2221      1167      2216      1143      2186      1203      2246 PARcau 0.675538 1.128646e-02 0.313176
    36   3       1042       1540  8.000  13.000  77.5 90.000     1036     1537     1050     1546     14      9      1036      1537      1049      1537      1049      1545      1036      1545      1011      1512      1075      1571 PARcau 0.864892 2.981695e-02 0.105291
    36   0       2600       2800 12.000  13.000 131.5 90.000     2594     2794     2608     2807     14     13      2594      2794      2607      2794      2607      2806      2594      2806      2569      2769      2633      2832 PARcau 0.748413 2.748609e-03 0.248838
    36   1       3251       2166  5.000  15.556  55.5 45.000     3246     2161     3257     2174     11     13      3247      2159      3258      2170      3255      2174      3244      2163      3221      2136      3282      2199 PARcau 0.130318 5.974620e-04 0.869085
    37   2       1173       2216  6.708   7.616  30.5 26.565     1169     2214     1178     2221      9      7      1171      2211      1177      2214      1174      2221      1168      2218      1144      2189      1203      2246 PARcau 0.907897 2.726401e-04 0.091830
    37   0       2603       2797 12.000  14.000 138.5 90.000     2598     2790     2611     2805     13     15      2598      2790      2610      2790      2610      2804      2598      2804      2573      2765      2636      2830 PARcau 0.301108 1.033108e-01 0.595581
    37   3       1034       1542  6.083  14.318  55.5 78.690     1026     1539     1041     1547     15      8      1025      1541      1039      1538      1040      1544      1026      1547      1001      1514      1066      1572 PARcau 0.936324 3.928318e-03 0.059748
    37   1       3230       2156  4.000  14.000  40.5 90.000     3224     2154     3239     2159     15      5      3224      2154      3238      2154      3238      2158      3224      2158      3199      2129      3264      2184 PARcau 0.010111 4.995582e-04 0.989390
    38   2       1173       2217  7.000   7.000  32.0 90.000     1170     2214     1178     2222      8      8      1170      2214      1177      2214      1177      2221      1170      2221      1145      2189      1203      2247 PARcau 0.871195 7.300156e-03 0.121505
    38   0       2603       2788  9.000  16.000 113.5 90.000     2599     2780     2609     2797     10     17      2599      2780      2608      2780      2608      2796      2599      2796      2574      2755      2634      2822 PARcau 0.785583 8.059283e-04 0.213611
    38   1       3217       2158  9.000  11.000  79.0 90.000     3213     2153     3223     2165     10     12      3213      2153      3222      2153      3222      2164      3213      2164      3188      2128      3248      2190 PARcau 0.976939 2.990183e-03 0.020071
    38   3       1013       1542  6.708  12.083  60.5 26.565     1009     1538     1021     1547     12      9      1010      1537      1021      1542      1018      1548      1007      1543       984      1513      1046      1572 PARcau 0.958862 4.971597e-04 0.040641
    39   2       1174       2217  6.000   7.000  28.0 90.000     1170     2215     1178     2222      8      7      1170      2215      1177      2215      1177      2221      1170      2221      1145      2190      1203      2247 PARcau 0.940432 1.226331e-03 0.058341
    39   1       3229       2164  5.000  16.000  52.5 90.000     3222     2162     3239     2168     17      6      3222      2162      3238      2162      3238      2167      3222      2167      3197      2137      3264      2193 PARcau 0.204432 1.162223e-03 0.794406
    39   0       2597       2777 12.000  13.000 117.0 90.000     2592     2771     2605     2785     13     14      2592      2771      2604      2771      2604      2784      2592      2784      2567      2746      2630      2810 PARcau 0.694718 4.173003e-03 0.301109
    39   3       1006       1524  4.610  14.080  49.0 82.875     1004     1518     1010     1533      6     15      1003      1518      1007      1517      1009      1531      1004      1532       979      1493      1035      1558 PARcau 0.200699 3.895598e-03 0.795405
    40   0       2590       2774 12.000  14.000 131.5 90.000     2583     2769     2598     2782     15     13      2583      2769      2597      2769      2597      2781      2583      2781      2558      2744      2623      2807 PARcau 0.831917 5.870201e-05 0.168024
    40   3       1004       1510  9.192  10.607  75.0 45.000      999     1505     1010     1517     11     12      1003      1503      1011      1511      1004      1517       997      1510       974      1480      1035      1542 PARcau 0.970363 1.298701e-02 0.016650
    41   0       2583       2781  9.899  14.866 116.5 45.000     2577     2774     2590     2789     13     15      2574      2783      2584      2772      2591      2779      2581      2790      2552      2749      2615      2814 PARcau 0.472337 3.014161e-02 0.497521
    41   3        992       1511  5.852  15.977  67.0 71.565      984     1508     1000     1517     16      9       983      1511       998      1506      1000      1511       985      1517       959      1483      1025      1542 PARcau 0.017018 6.452033e-04 0.982337
    41   1       3257       2136  4.272  14.080  38.0 71.565     3254     2129     3261     2143      7     14      3257      2127      3261      2141      3257      2142      3253      2129      3229      2104      3286      2168 PARcau 0.895732 3.357182e-03 0.100910
    41   4       4836       2085  4.000   9.000  26.0 90.000     4832     2084     4842     2089     10      5      4832      2084      4841      2084      4841      2088      4832      2088      4807      2059      4867      2114 PARcau 0.754191 1.482662e-02 0.230982
    42   4       4836       2085  6.000  10.000  28.0 90.000     4831     2082     4842     2089     11      7      4831      2082      4841      2082      4841      2088      4831      2088      4806      2057      4867      2114 PARcau 0.009179 1.116624e-03 0.989704
    42   0       2577       2791 12.000  14.000 126.0 90.000     2571     2784     2584     2799     13     15      2571      2784      2583      2784      2583      2798      2571      2798      2546      2759      2609      2824 PARcau 0.442357 1.010519e-02 0.547538
    42   1       3236       2121  4.528  14.577  39.0  5.711     3230     2119     3245     2125     15      6      3230      2118      3244      2119      3244      2124      3229      2122      3205      2094      3270      2150 PARcau 0.002770 7.219024e-04 0.996508
    42   3        971       1514  6.083  14.560  63.0 15.945      965     1511      980     1519     15      8       965      1509       979      1513       978      1519       964      1515       940      1486      1005      1544 PARcau 0.005379 1.169721e-04 0.994505
    43   4       4836       2084  5.385   9.487  29.0 71.565     4831     2082     4842     2089     11      7      4830      2083      4839      2080      4841      2085      4832      2088      4806      2057      4867      2114 PARcau 0.477928 1.140896e-03 0.520931
    43   0       2574       2795 12.000  12.000 115.5 90.000     2569     2790     2582     2803     13     13      2569      2790      2581      2790      2581      2802      2569      2802      2544      2765      2607      2828 PARcau 0.605331 1.739176e-03 0.392929
