 Frame  ID  CentroidX  CentroidY  Width  Length  Area  Angle  Box_TLX  Box_TLY  Box_BRX  Box_BRY  Box_W  Box_H  rBox_TLX  rBox_TLY  rBox_TRX  rBox_TRY  rBox_BRX  rBox_BRY  rBox_BLX  rBox_BLY  lBox_TLX  lBox_TLY  lBox_BRX  lBox_BRY  Label       DIDnas       NONpro   PARcau
    21   0       4214       2441  8.485   9.899  63.0 45.000     4210     2437     4220     2448     10     11      4208      2442      4215      2435      4221      2441      4214      2448      4185      2412      4245      2473 PARcau 8.692299e-01 3.820683e-02 0.092563
    21   1       2764       2427  8.559  27.226 162.5 82.875     2751     2423     2779     2433     28     10      2750      2425      2777      2421      2778      2430      2751      2433      2726      2398      2804      2458 PARcau 4.042514e-05 2.097925e-05 0.999939
    21   2       2487       2206  8.500  27.951 162.5 63.435     2475     2197     2500     2215     25     18      2473      2208      2498      2196      2502      2203      2477      2216      2450      2172      2525      2240 PARcau 2.334111e-07 3.596017e-07 0.999999
    21   3        713       2063  8.276  31.121 198.0 66.038      706     2049      722     2078     16     29       710      2047       722      2075       715      2079       702      2050       681      2024       747      2103 PARcau 5.639010e-06 5.861361e-06 0.999989
    21   4        268       1832 11.000  11.000  91.5 90.000      263     1827      275     1839     12     12       263      1827       274      1827       274      1838       263      1838       238      1802       300      1864 PARcau 2.913867e-01 3.302065e-01 0.378407
    21   5       1277       1803  7.071  26.077 140.5 85.914     1273     1791     1282     1818      9     27      1272      1791      1279      1790      1281      1816      1274      1817      1248      1766      1307      1843 PARcau 1.936095e-02 1.047273e-03 0.979592
    21   6        470       1691  9.657  32.423 233.5 20.556      455     1683      486     1700     31     17       456      1681       486      1692       483      1701       452      1690       430      1658       511      1725 PARcau 3.913115e-08 8.272365e-08 1.000000
    21   7       3961       1320 10.770  26.000 188.0 68.199     3950     1315     3976     1328     26     13      3948      1320      3972      1310      3976      1320      3952      1330      3925      1290      4001      1353 PARcau 9.894591e-03 7.073038e-03 0.983032
    21   8       2937        655  8.382  24.824 150.5 71.565     2925      650     2950      661     25     11      2924       655      2947       647      2950       655      2926       663      2900       625      2975       686 PARcau 8.298449e-04 3.577838e-05 0.999134
    21   9       1831        514  9.014  27.354 180.0 18.435     1819      509     1846      522     27     13      1820       506      1846       515      1843       523      1817       515      1794       484      1871       547 PARcau 2.760455e-05 3.049325e-05 0.999942
    22   4        266       1830  9.000  11.000  79.0 90.000      261     1826      273     1836     12     10       261      1826       272      1826       272      1835       261      1835       236      1801       298      1861 PARcau 9.678579e-02 5.247528e-01 0.378461
    22   5       1278       1809  7.071  25.080 139.5 84.289     1274     1798     1283     1824      9     26      1273      1798      1280      1797      1282      1822      1275      1823      1249      1773      1308      1849 PARcau 1.460066e-02 2.647473e-03 0.982752
    22   7       3967       1318 10.770  26.000 191.0 68.199     3956     1313     3982     1326     26     13      3954      1318      3978      1308      3982      1318      3958      1328      3931      1288      4007      1351 PARcau 6.426645e-03 6.366900e-03 0.987206
    22   0       4211       2446  8.062  11.662  69.0 30.964     4207     2441     4217     2453     10     12      4210      2439      4217      2443      4211      2453      4204      2449      4182      2416      4242      2478 PARcau 8.844839e-01 1.192802e-02 0.103588
    22   6        462       1687  9.618  32.871 237.0 26.565      447     1679      478     1697     31     18       449      1676       478      1690       474      1699       444      1684       422      1654       503      1722 PARcau 3.027305e-08 6.447293e-07 0.999999
    22   1       2773       2425  8.000  27.000 154.5 90.000     2761     2422     2789     2431     28      9      2761      2422      2788      2422      2788      2430      2761      2430      2736      2397      2814      2456 PARcau 2.893417e-04 5.845010e-05 0.999652
    22   2       2497       2199  8.485  28.284 165.5 45.000     2487     2189     2510     2209     23     20      2485      2205      2505      2185      2511      2191      2491      2211      2462      2164      2535      2234 PARcau 4.069508e-07 2.380483e-07 0.999999
    22   8       2925        658  9.055  24.187 148.5 82.875     2913      654     2938      664     25     10      2912       655      2936       652      2937       661      2913       664      2888       629      2963       689 PARcau 2.926502e-06 2.286059e-06 0.999995
    22   3        718       2075  8.500  30.187 192.0 63.435      711     2061      728     2089     17     28       715      2059       728      2086       721      2090       707      2063       686      2036       753      2114 PARcau 4.281663e-08 8.066707e-08 1.000000
    22   9       1848        521  7.159  31.579 161.5 23.199     1835      514     1865      529     30     15      1836       511      1865       524      1862       530      1833       518      1810       489      1890       554 PARcau 2.051733e-08 1.769702e-07 1.000000
    23   4        263       1831 10.296  11.180  89.5 63.435      258     1826      270     1838     12     12       255      1829       265      1824       270      1833       260      1838       233      1801       295      1863 PARcau 3.886199e-01 3.301378e-05 0.611347
    23   5       1278       1815  7.566  26.120 143.5 85.236     1275     1803     1284     1830      9     27      1273      1803      1281      1802      1283      1828      1276      1829      1250      1778      1309      1855 PARcau 9.262654e-04 1.346344e-04 0.998939
    23   7       3974       1317 10.124  26.879 192.5 71.565     3962     1312     3989     1324     27     12      3960      1316      3985      1307      3989      1317      3963      1325      3937      1287      4014      1349 PARcau 1.088705e-01 1.605309e-02 0.875076
    23   0       4207       2452  8.322  11.236  67.5 33.690     4203     2447     4212     2460      9     13      4206      2445      4213      2450      4207      2459      4200      2455      4178      2422      4237      2485 PARcau 8.836608e-02 3.062157e-01 0.605418
    23   6        453       1684 10.062  33.095 237.0 26.565      439     1675      469     1694     30     19       440      1672       470      1687       465      1696       436      1681       414      1650       494      1719 PARcau 2.440085e-06 5.634637e-06 0.999992
    23   1       2783       2424  8.062  27.166 156.0 83.660     2770     2420     2798     2429     28      9      2769      2421      2796      2418      2797      2426      2770      2429      2745      2395      2823      2454 PARcau 2.435308e-06 7.925931e-07 0.999997
    23   2       2507       2191  7.071  29.000 161.5 45.000     2497     2181     2520     2202     23     21      2495      2198      2516      2178      2521      2183      2500      2203      2472      2156      2545      2227 PARcau 4.917865e-07 8.591234e-07 0.999999
    23   8       2912        660  7.000  26.000 147.5 90.000     2899      657     2926      665     27      8      2899       657      2925       657      2925       664      2899       664      2874       632      2951       690 PARcau 2.857933e-04 4.973427e-04 0.999217
    23   3        725       2086  9.014  30.794 194.5 56.310      716     2073      735     2100     19     27       720      2070       736      2096       729      2101       712      2075       691      2048       760      2125 PARcau 1.705810e-08 2.703937e-08 1.000000
    23   9       1863        527  8.276  28.399 156.0 26.565     1851      521     1878      535     27     14      1853       517      1879       530      1875       537      1850       525      1826       496      1903       560 PARcau 1.117488e-03 1.505346e-03 0.997377
    24   4        259       1834 11.000  12.000 107.0 90.000      253     1829      266     1841     13     12       253      1829       265      1829       265      1840       253      1840       228      1804       291      1866 PARcau 1.226747e-01 7.833427e-01 0.093983
    24   5       1279       1821  8.062  27.459 156.5 78.690     1275     1809     1285     1837     10     28      1273      1809      1281      1808      1286      1835      1278      1836      1250      1784      1310      1862 PARcau 7.028741e-03 2.592329e-03 0.990379
    24   7       3980       1316  9.618  28.045 199.5 78.690     3968     1311     3996     1323     28     12      3967      1314      3994      1308      3996      1318      3968      1323      3943      1286      4021      1348 PARcau 2.377774e-01 7.861133e-02 0.683611
    24   0       4203       2459  8.000  11.000  68.0 90.000     4200     2454     4209     2466      9     12      4200      2454      4208      2454      4208      2465      4200      2465      4175      2429      4234      2491 PARcau 3.198142e-01 4.378846e-01 0.242301
    24   6        445       1680  9.862  32.500 235.0 30.964      431     1671      461     1690     30     19       433      1667       461      1684       456      1692       428      1676       406      1646       486      1715 PARcau 2.362216e-06 1.890179e-06 0.999996
    24   1       2792       2422  7.566  27.226 156.0 82.875     2780     2418     2808     2428     28     10      2779      2420      2806      2416      2807      2424      2780      2427      2755      2393      2833      2453 PARcau 1.296686e-05 7.008845e-06 0.999980
