 Frame  ID  CentroidX  CentroidY  Width  Length   Area  Angle  Box_TLX  Box_TLY  Box_BRX  Box_BRY  Box_W  Box_H  rBox_TLX  rBox_TLY  rBox_TRX  rBox_TRY  rBox_BRX  rBox_BRY  rBox_BLX  rBox_BLY  lBox_TLX  lBox_TLY  lBox_BRX  lBox_BRY  Label       DIDnas       NONpro   PARcau
    21   0       2711       2565  7.071   8.485   42.5 45.000     2708     2562     2717     2570      9      8      2711      2560      2717      2566      2712      2571      2706      2565      2683      2537      2742      2595 PARcau 5.502332e-02 8.478215e-01 0.097155
    21   1        965       2383  5.220   7.762   25.5 18.435      962     2381      970     2388      8      7       962      2380       970      2382       968      2387       961      2385       937      2356       995      2413 PARcau 2.651592e-01 7.120487e-01 0.022792
    21   2       4788       2269  9.014  22.743  157.0 56.310     4781     2259     4796     2280     15     21      4785      2257      4798      2276      4790      2281      4778      2262      4756      2234      4821      2305 PARcau 3.194057e-05 8.678277e-06 0.999959
    21   3       2602       2178 11.402  26.683  209.5 14.036     2596     2166     2611     2193     15     27      2600      2164      2611      2167      2605      2193      2594      2190      2571      2141      2636      2218 PARcau 6.447245e-01 4.861366e-03 0.350414
    21   4       2786       2164 10.000  16.000  121.5 90.000     2781     2156     2792     2173     11     17      2781      2156      2791      2156      2791      2172      2781      2172      2756      2131      2817      2198 PARcau 9.630532e-01 5.977930e-05 0.036887
    21   5       1561       2083  8.000  10.000   63.5 90.000     1558     2078     1567     2089      9     11      1558      2078      1566      2078      1566      2088      1558      2088      1533      2053      1592      2114 PARcau 9.764391e-01 7.266244e-03 0.016295
    21   6       4510       1892 38.833  55.471 1463.5 55.886     4478     1867     4537     1916     59     49      4475      1892      4521      1861      4543      1893      4497      1924      4453      1842      4562      1941 PARcau 6.671204e-03 8.820304e-02 0.905126
    21   7       2615       1454  5.000   9.000   27.0 90.000     2611     1452     2621     1458     10      6      2611      1452      2620      1452      2620      1457      2611      1457      2586      1427      2646      1483 PARcau 3.597573e-01 1.967747e-01 0.443468
    21   8       2116       1334  6.708   8.944   45.5 63.435     2112     1331     2121     1340      9      9      2111      1332      2117      1329      2121      1337      2115      1340      2087      1306      2146      1365 PARcau 2.008495e-01 7.532871e-01 0.045863
    21   9       3722       1229  7.826   9.394   56.5 26.565     3718     1226     3729     1235     11      9      3721      1223      3728      1227      3724      1235      3717      1232      3693      1201      3754      1260 PARcau 3.344981e-02 9.427451e-01 0.023805
    21  10       2754        951  6.000   6.000   33.0 90.000     2751      949     2758      956      7      7      2751       949      2757       949      2757       955      2751       955      2726       924      2783       981 PARcau 4.810469e-01 4.540121e-01 0.064941
    21  11       1429        948  8.485   9.899   67.5 45.000     1425      944     1435      955     10     11      1429       942      1436       949      1430       955      1423       948      1400       919      1460       980 PARcau 7.293206e-01 1.883169e-01 0.082362
    21  12        704        654  7.433   7.762   37.0 71.565      700      651      709      659      9      8       699       651       706       649       708       656       701       659       675       626       734       684 PARcau 4.428889e-01 2.962939e-02 0.527482
    21  13       1293        543 12.021  27.577  256.0 45.000     1282      534     1306      555     24     21      1288       529      1307       549      1299       557      1279       538      1257       509      1331       580 PARcau 1.607749e-06 1.822520e-07 0.999998
    21  14       1906        476  5.701  17.903   70.5 53.130     1901      469     1914      484     13     15      1903       467      1914       482      1909       485      1899       471      1876       444      1939       509 PARcau 6.752039e-02 5.910613e-03 0.926569
    22  12        704        654  7.000   7.000   35.0 90.000      701      651      709      659      8      8       701       651       708       651       708       658       701       658       676       626       734       684 PARcau 7.692742e-02 2.700517e-02 0.896067
    22   6       4511       1893 38.422  54.930 1414.5 55.008     4478     1868     4538     1917     60     49      4476      1893      4521      1862      4543      1893      4498      1925      4453      1843      4563      1942 PARcau 8.838509e-03 2.320940e-01 0.759067
    22   5       1560       2082  9.000   9.000   62.5 90.000     1556     2078     1566     2088     10     10      1556      2078      1565      2078      1565      2087      1556      2087      1531      2053      1591      2113 PARcau 8.338594e-01 1.015249e-01 0.064616
    22  10       2756        952  5.000   6.000   28.5 90.000     2754      950     2760      957      6      7      2754       950      2759       950      2759       956      2754       956      2729       925      2785       982 PARcau 2.611673e-01 7.044404e-01 0.034392
    22   9       3724       1231  8.000   9.000   57.5 90.000     3720     1227     3730     1236     10      9      3720      1227      3729      1227      3729      1235      3720      1235      3695      1202      3755      1261 PARcau 2.597706e-01 1.721446e-01 0.568085
    22  11       1432        948  8.000  10.000   60.0 90.000     1428      944     1437      955      9     11      1428       944      1436       944      1436       954      1428       954      1403       919      1462       980 PARcau 8.784887e-01 5.520789e-02 0.066304
    22   0       2708       2565  6.000   7.000   34.0 90.000     2705     2563     2713     2570      8      7      2705      2563      2712      2563      2712      2569      2705      2569      2680      2538      2738      2595 PARcau 1.030410e-01 8.847525e-01 0.012206
    22   2       4790       2273  8.944  22.361  133.5 63.435     4784     2264     4798     2285     14     21      4789      2261      4799      2281      4791      2285      4781      2265      4759      2239      4823      2310 PARcau 5.233705e-05 1.703633e-05 0.999931
    22   3       2600       2173 10.000  27.000  208.0 90.000     2596     2160     2607     2188     11     28      2596      2160      2606      2160      2606      2187      2596      2187      2571      2135      2632      2213 PARcau 6.614868e-03 4.080348e-04 0.992977
    22  13       1298        547 12.042  28.284  266.5 45.000     1287      538     1311      559     24     21      1292       533      1312       553      1304       562      1284       542      1262       513      1336       584 PARcau 1.996305e-04 1.066210e-06 0.999799
    22   8       2119       1340  8.485   8.485   51.0 45.000     2115     1336     2124     1346      9     10      2119      1334      2125      1340      2119      1346      2113      1340      2090      1311      2149      1371 PARcau 9.011762e-01 6.582417e-02 0.033000
