 Frame  ID  CentroidX  CentroidY  Width  Length  Area  Angle  Box_TLX  Box_TLY  Box_BRX  Box_BRY  Box_W  Box_H  rBox_TLX  rBox_TLY  rBox_TRX  rBox_TRY  rBox_BRX  rBox_BRY  rBox_BLX  rBox_BLY  lBox_TLX  lBox_TLY  lBox_BRX  lBox_BRY  Label       HOMver       NONpro   PARcau
    21   0       2725       2611 11.424  30.733 249.5 68.199     2718     2597     2734     2626     16     29      2725      2594      2736      2623      2726      2627      2714      2599      2693      2572      2759      2651 PARcau 9.120708e-02 5.107016e-02 0.857723
    21   1       1461       2114  8.631  20.988 133.0 78.690     1457     2103     1467     2125     10     22      1454      2104      1463      2102      1467      2123      1459      2124      1432      2078      1492      2150 PARcau 8.569026e-04 5.441838e-05 0.999089
    21   2       4389       1141 11.000  27.000 226.0 90.000     4377     1136     4405     1148     28     12      4377      1136      4404      1136      4404      1147      4377      1147      4352      1111      4430      1173 PARcau 3.525904e-04 6.284204e-05 0.999585
    21   3       2463        476 10.308  28.377 211.5 75.964     2450      471     2478      483     28     12      2448       475      2476       468      2478       478      2451       485      2425       446      2503       508 PARcau 9.439232e-01 4.825982e-09 0.056077
    21   4       2212        333  8.485  12.728  65.5 45.000     2208      328     2218      342     10     14      2211       327      2220       336      2214       342      2205       333      2183       303      2243       367 PARcau 4.639995e-02 9.963354e-04 0.952604
    21   5       1186        289  5.657  15.556  71.5 45.000     1180      283     1194      296     14     13      1179       292      1190       281      1194       285      1183       296      1155       258      1219       321 PARcau 3.786046e-06 1.265762e-05 0.999984
    22   2       4390       1141 11.000  28.000 215.5 90.000     4376     1136     4405     1148     29     12      4376      1136      4404      1136      4404      1147      4376      1147      4351      1111      4430      1173 PARcau 3.866602e-04 2.071002e-03 0.997542
    22   4       2212        332  8.515  14.160  72.5 49.399     2208      327     2218      342     10     15      2211       325      2220       335      2214       341      2204       330      2183       302      2243       367 PARcau 1.281399e-02 2.445645e-04 0.986942
    22   5       1182        292  8.485  16.971  94.0 45.000     1176      286     1191      300     15     14      1174       295      1186       283      1192       289      1180       301      1151       261      1216       325 PARcau 1.821777e-05 1.031103e-04 0.999879
    22   1       1461       2105  8.000  22.000 136.0 90.000     1457     2094     1466     2117      9     23      1457      2094      1465      2094      1465      2116      1457      2116      1432      2069      1491      2142 PARcau 1.631563e-02 5.293048e-04 0.983155
    22   3       2454        478 10.198  28.636 211.5 78.690     2440      472     2469      484     29     12      2439       476      2467       470      2469       480      2441       486      2415       447      2494       509 PARcau 9.499440e-02 7.120864e-05 0.904934
    22   0       2722       2602 10.512  29.741 241.0 63.435     2715     2588     2732     2617     17     29      2720      2586      2734      2613      2724      2617      2711      2591      2690      2563      2757      2642 PARcau 1.919270e-02 7.767513e-03 0.973040
    23   4       2211        332  8.139  14.807  80.0 78.690     2208      325     2218      340     10     15      2206       325      2214       324      2217       338      2209       340      2183       300      2243       365 PARcau 3.749526e-01 7.379269e-03 0.617668
    23   2       4391       1140 11.000  24.000 185.0 90.000     4379     1136     4404     1148     25     12      4379      1136      4403      1136      4403      1147      4379      1147      4354      1111      4429      1173 PARcau 1.249278e-01 1.628644e-04 0.874909
    23   5       1180        294  7.778  17.678 105.0 45.000     1174      289     1189      302     15     13      1172       298      1184       285      1190       291      1177       303      1149       264      1214       327 PARcau 3.587129e-04 7.492804e-03 0.992148
    23   1       1462       2096  8.000  22.000 144.0 90.000     1458     2085     1467     2108      9     23      1458      2085      1466      2085      1466      2107      1458      2107      1433      2060      1492      2133 PARcau 8.012488e-02 4.326800e-05 0.919832
    23   0       2719       2593 11.180  29.069 236.5 63.435     2712     2579     2728     2607     16     28      2717      2577      2730      2603      2720      2608      2707      2582      2687      2554      2753      2632 PARcau 7.499714e-02 1.648173e-01 0.760186
    23   3       2444        479 10.198  28.862 208.5 75.964     2430      474     2459      486     29     12      2429       478      2457       471      2459       481      2431       488      2405       449      2484       511 PARcau 6.710429e-01 4.111276e-07 0.328957
    24   4       2211        331  7.566  14.221  66.0 80.538     2208      325     2217      340      9     15      2206       325      2214       324      2216       338      2209       339      2183       300      2242       365 PARcau 3.824813e-03 2.147455e-03 0.994028
    24   2       4394       1139 11.630  23.071 180.5 60.945     4383     1132     4406     1147     23     15      4381      1140      4401      1128      4406      1139      4386      1150      4358      1107      4431      1172 PARcau 1.527081e-01 3.265284e-03 0.844027
    24   5       1177        297  8.201  19.704 120.0 53.130     1169      291     1187      305     18     14      1167       300      1183       288      1188       295      1172       306      1144       266      1212       330 PARcau 6.854081e-04 8.797986e-04 0.998435
    24   1       1463       2087  9.000  22.000 155.5 90.000     1459     2076     1469     2099     10     23      1459      2076      1468      2076      1468      2098      1459      2098      1434      2051      1494      2124 PARcau 7.035575e-01 1.155814e-02 0.284884
    24   3       2435        481  9.708  27.771 209.5 75.964     2422      475     2450      488     28     13      2421       480      2448       473      2450       483      2423       489      2397       450      2475       513 PARcau 1.281879e-02 7.293360e-07 0.987181
    24   0       2715       2583 10.966  29.517 243.0 63.435     2707     2569     2725     2597     18     28      2713      2567      2726      2593      2716      2598      2703      2571      2682      2544      2750      2622 PARcau 4.040449e-03 2.878240e-03 0.993081
    25   4       2211        330  7.566  13.238  64.5 78.690     2208      324     2217      338      9     14      2206       324      2214       323      2216       336      2209       337      2183       299      2242       363 PARcau 7.697084e-03 2.381847e-04 0.992065
    25   2       4397       1136 11.314  21.213 177.0 45.000     4388     1129     4408     1145     20     16      4386      1140      4401      1125      4409      1133      4394      1148      4363      1104      4433      1170 PARcau 8.137775e-03 1.175362e-03 0.990687
    25   5       1173        300  8.322  20.670 133.0 56.310     1165      293     1184      308     19     15      1162       302      1180       291      1184       298      1167       309      1140       268      1209       333 PARcau 6.805400e-05 1.396379e-05 0.999918
    25   3       2427        483  9.823  28.258 218.5 75.964     2414      477     2442      490     28     13      2412       482      2440       475      2442       485      2415       491      2389       452      2467       515 PARcau 1.857611e-02 1.848117e-05 0.981405
    25   1       1465       2077  8.000  23.000 154.5 90.000     1461     2066     1470     2090      9     24      1461      2066      1469      2066      1469      2089      1461      2089      1436      2041      1495      2115 PARcau 5.619846e-01 1.302898e-04 0.437885
    25   0       2710       2574 11.180  29.069 240.5 63.435     2703     2560     2720     2588     17     28      2709      2558      2722      2584      2712      2589      2699      2563      2678      2535      2745      2613 PARcau 2.416998e-02 8.858328e-04 0.974944
    26   4       2211        330  7.382  12.748  51.5 63.435     2208      324     2217      338      9     14      2205       326      2212       322      2217       334      2211       337      2183       299      2242       363 PARcau 6.646882e-03 3.854245e-02 0.954811
    26   2       4400       1132 11.314  21.932 182.0 45.000     4391     1124     4410     1142     19     18      4388      1136      4404      1121      4412      1129      4396      1144      4366      1099      4435      1167 PARcau 5.426022e-04 2.716900e-04 0.999186
    26   5       1169        303  8.062  20.125 116.5 63.435     1160      297     1179      309     19     12      1158       304      1176       295      1180       302      1162       311      1135       272      1204       334 PARcau 2.946953e-07 1.574334e-06 0.999998
    26   3       2419        485  9.487  27.203 202.5 71.565     2407      480     2434      493     27     13      2405       485      2431       477      2434       486      2408       494      2382       455      2459       518 PARcau 2.834168e-02 3.208587e-08 0.971658
    26   1       1465       2069  8.000  22.000 151.0 90.000     1462     2058     1471     2081      9     23      1462      2058      1470      2058      1470      2080      1462      2080      1437      2033      1496      2106 PARcau 4.628125e-03 3.221324e-03 0.992151
    26   0       2706       2564 11.180  30.017 244.0 60.255     2698     2551     2716     2579     18     28      2703      2549      2718      2575      2708      2580      2693      2554      2673      2526      2741      2604 PARcau 2.757771e-02 2.372123e-04 0.972185
    27   4       2211        329  7.000  12.000  37.0 90.000     2208      324     2216      337      8     13      2208       324      2215       324      2215       336      2208       336      2183       299      2241       362 PARcau 7.536886e-04 3.523864e-04 0.998894
    27   5       1164        304  9.341  20.402 133.5 71.565     1155      299     1175      311     20     12      1154       303      1173       297      1176       306      1156       312      1130       274      1200       336 PARcau 2.498114e-07 1.252635e-05 0.999987
