 Frame  ID  CentroidX  CentroidY  Width  Length  Area  Angle  Box_TLX  Box_TLY  Box_BRX  Box_BRY  Box_W  Box_H  rBox_TLX  rBox_TLY  rBox_TRX  rBox_TRY  rBox_BRX  rBox_BRY  rBox_BLX  rBox_BLY  lBox_TLX  lBox_TLY  lBox_BRX  lBox_BRY  Label   HOMver   NONpro   PARcau
    21   0       1616       2290  8.746  25.387 166.5 32.005     1609     2279     1624     2302     15     23      1606      2298      1620      2277      1627      2281      1614      2303      1584      2254      1649      2327 PARcau 0.000386 0.000002 0.999613
    21   1       4835        670 10.735  27.951 223.5 63.435     4828      657     4844      683     16     26      4833       654      4845       679      4836       684      4823       659      4803       632      4869       708 PARcau 0.011408 0.077225 0.911367
    21   2       4875        103  7.433  15.338  81.0 71.565     4869      100     4884      110     15     10      4867       102      4881        97      4884       104      4869       109      4844        75      4909       135 PARcau 0.373864 0.037680 0.588456
    22   0       1619       2285  9.618  25.269 167.5 26.565     1612     2274     1627     2297     15     23      1609      2294      1621      2272      1629      2276      1618      2299      1587      2249      1652      2322 PARcau 0.000153 0.000003 0.999844
    22   1       4832        663 10.735  27.951 216.0 63.435     4824      650     4841      676     17     26      4830       647      4842       672      4833       677      4820       652      4799       625      4866       701 PARcau 0.043641 0.388220 0.568139
    23   0       1621       2280  8.500  25.812 164.0 30.964     1614     2269     1630     2292     16     23      1611      2289      1625      2267      1632      2271      1619      2293      1589      2244      1655      2317 PARcau 0.129317 0.001764 0.868919
    23   1       4828        656 11.180  29.069 228.5 63.435     4820      643     4838      669     18     26      4826       639      4839       665      4829       670      4816       644      4795       618      4863       694 PARcau 0.019969 0.004524 0.975508
    24   0       1624       2275  9.014  24.130 163.0 33.690     1617     2265     1633     2287     16     22      1614      2283      1628      2263      1635      2268      1622      2288      1592      2240      1658      2312 PARcau 0.000851 0.000118 0.999031
    24   1       4825        649 11.180  28.653 216.5 60.255     4817      636     4835      661     18     25      4822       633      4836       658      4826       663      4812       638      4792       611      4860       686 PARcau 0.008878 0.033165 0.957958
    25   0       1627       2270  8.602  25.239 159.0 33.690     1620     2259     1636     2282     16     23      1617      2278      1631      2257      1638      2262      1624      2283      1595      2234      1661      2307 PARcau 0.030251 0.000115 0.969634
    25   1       4821        642 10.296  27.785 223.0 59.036     4813      630     4831      655     18     25      4818       627      4832       651      4823       656      4809       632      4788       605      4856       680 PARcau 0.002007 0.057419 0.940574
    26   0       1630       2265  8.500  25.812 163.0 30.964     1623     2254     1640     2277     17     23      1620      2274      1634      2252      1641      2256      1628      2278      1598      2229      1665      2302 PARcau 0.001396 0.001658 0.996947
    26   1       4817        636 11.180  27.731 228.0 63.435     4808      624     4827      649     19     25      4816       620      4828       645      4818       650      4806       625      4783       599      4852       674 PARcau 0.000681 0.012108 0.987211
    27   0       1634       2260  8.602  25.239 169.0 33.690     1626     2249     1643     2272     17     23      1624      2268      1638      2247      1645      2252      1631      2273      1601      2224      1668      2297 PARcau 0.000584 0.002341 0.997075
