 Frame  ID  CentroidX  CentroidY  Width  Length  Area  Angle  Box_TLX  Box_TLY  Box_BRX  Box_BRY  Box_W  Box_H  rBox_TLX  rBox_TLY  rBox_TRX  rBox_TRY  rBox_BRX  rBox_BRY  rBox_BLX  rBox_BLY  lBox_TLX  lBox_TLY  lBox_BRX  lBox_BRY  Label       HOMver   NONpro   PARcau
    21   0       4094       2768  9.055  18.248 127.5  9.462     4090     2759     4101     2778     11     19      4091      2758      4100      2759      4097      2777      4088      2776      4065      2734      4126      2803 PARcau 3.615905e-05 0.330196 0.669767
    21   1       4424       1979  4.243  11.314  26.0 45.000     4420     1975     4431     1984     11      9      4419      1981      4427      1973      4430      1976      4422      1984      4395      1950      4456      2009 PARcau 1.618485e-03 0.375908 0.622474
    22   0       4096       2767  9.434  18.028 129.5 33.690     4090     2759     4103     2777     13     18      4087      2772      4097      2757      4105      2762      4095      2777      4065      2734      4128      2802 PARcau 8.835356e-08 0.016962 0.983038
    23   1       4425       1978  3.536  12.021  26.5 45.000     4421     1974     4431     1983     10      9      4420      1981      4428      1972      4431      1975      4422      1983      4396      1949      4456      2008 PARcau 1.215921e-02 0.028905 0.958936
    23   0       4097       2767 10.607  16.263 126.5 45.000     4091     2761     4106     2776     15     15      4088      2769      4100      2758      4107      2765      4096      2777      4066      2736      4131      2801 PARcau 3.452002e-06 0.576784 0.423213
    24   1       4425       1977  4.243  11.402  27.0 51.340     4421     1973     4431     1982     10      9      4419      1979      4428      1972      4431      1975      4422      1982      4396      1948      4456      2007 PARcau 2.052561e-02 0.061308 0.918167
    24   0       4099       2768 11.705  16.763 135.0 71.565     4092     2762     4108     2776     16     14      4089      2765      4105      2760      4109      2771      4093      2776      4067      2737      4133      2801 PARcau 1.556318e-06 0.297177 0.702822
    25   1       4426       1976  4.243  13.454  36.5 45.000     4421     1972     4432     1982     11     10      4420      1980      4429      1970      4432      1973      4423      1983      4396      1947      4457      2007 PARcau 8.571247e-03 0.024433 0.966995
    25   0       4101       2769 10.440  18.974 140.5 18.435     4092     2764     4111     2777     19     13      4093      2761      4111      2767      4108      2777      4090      2771      4067      2739      4136      2802 PARcau 7.016354e-06 0.323298 0.676695
    26   1       4426       1976  3.905  12.420  33.0 40.601     4422     1972     4432     1983     10     11      4420      1979      4428      1970      4431      1972      4423      1982      4397      1947      4457      2008 PARcau 4.124853e-02 0.029599 0.929153
    26   0       4104       2771 10.920  21.983 163.0 15.945     4093     2765     4115     2779     22     14      4094      2763      4115      2769      4112      2780      4091      2773      4068      2740      4140      2804 PARcau 2.375999e-03 0.756968 0.240656
    27   1       4427       1974  5.148  11.511  35.0 33.690     4422     1970     4432     1980     10     10      4421      1978      4427      1969      4432      1971      4425      1981      4397      1945      4457      2005 PARcau 4.665177e-03 0.014612 0.980722
    27   0       4105       2772 10.198  24.739 164.0 14.036     4094     2766     4118     2779     24     13      4094      2764      4118      2770      4116      2780      4092      2774      4069      2741      4143      2804 PARcau 6.273901e-04 0.009633 0.989739
    27   2       1896       1379  3.000   8.000  20.0 90.000     1893     1378     1902     1382      9      4      1893      1378      1901      1378      1901      1381      1893      1381      1868      1353      1927      1407 PARcau 2.974994e-02 0.003784 0.966466
    28   1       4427       1974  4.301  12.104  31.0 36.870     4422     1970     4432     1980     10     10      4421      1978      4429      1968      4432      1971      4425      1980      4397      1945      4457      2005 PARcau 1.433882e-02 0.106246 0.879415
    28   2       1895       1379  4.000   9.000  29.5 90.000     1891     1377     1901     1382     10      5      1891      1377      1900      1377      1900      1381      1891      1381      1866      1352      1926      1407 PARcau 1.510292e-03 0.000138 0.998352
    28   0       4109       2773  9.849  23.707 145.5 26.565     4098     2768     4121     2780     23     12      4100      2764      4121      2775      4117      2784      4096      2773      4073      2743      4146      2805 PARcau 1.907590e-03 0.105071 0.893021
    29   1       4427       1974  4.717  14.841  35.5 33.690     4422     1970     4433     1982     11     12      4420      1980      4428      1967      4432      1970      4424      1982      4397      1945      4458      2007 PARcau 6.113453e-02 0.003189 0.935676
    30   1       4427       1973  4.610  12.500  31.5 39.806     4423     1969     4433     1979     10     10      4422      1977      4429      1967      4433      1970      4425      1980      4398      1944      4458      2004 PARcau 3.349798e-03 0.002594 0.994057
    31   1       4428       1972  4.301  12.104  28.0 38.660     4423     1968     4433     1978     10     10      4422      1976      4429      1967      4433      1969      4425      1979      4398      1943      4458      2003 PARcau 2.575895e-02 0.071867 0.902374
    32   1       4428       1972  4.610  13.901  32.0 36.870     4423     1967     4434     1980     11     13      4422      1976      4430      1965      4434      1968      4425      1979      4398      1942      4459      2005 PARcau 6.081861e-03 0.001452 0.992466
    33   1       4429       1971  4.717  13.200  36.0 36.870     4424     1966     4434     1979     10     13      4422      1975      4430      1965      4434      1967      4426      1978      4399      1941      4459      2004 PARcau 1.238630e-02 0.003825 0.983789
    34   1       4429       1970  4.950  13.509  35.5 40.601     4424     1966     4435     1979     11     13      4422      1974      4431      1964      4434      1967      4426      1978      4399      1941      4460      2004 PARcau 1.052944e-02 0.002611 0.986860
    35   1       4429       1970  5.000  15.000  36.0 38.660     4425     1966     4435     1978     10     12      4422      1975      4431      1963      4435      1966      4426      1978      4400      1941      4460      2003 PARcau 1.546986e-03 0.107988 0.890465
    36   1       4429       1969  4.243  12.042  36.5 45.000     4425     1965     4435     1975     10     10      4423      1972      4432      1964      4435      1967      4426      1975      4400      1940      4460      2000 PARcau 1.139741e-03 0.179095 0.819765
    37   1       4429       1969  4.243  10.630  30.5 45.000     4425     1965     4435     1974     10      9      4424      1971      4432      1964      4435      1967      4427      1974      4400      1940      4460      1999 PARcau 1.349068e-02 0.000368 0.986141
    38   1       4429       1968  4.472  11.180  28.5 63.435     4425     1965     4435     1973     10      8      4423      1969      4433      1964      4435      1968      4425      1973      4400      1940      4460      1998 PARcau 1.628888e-02 0.019065 0.964646
    39   1       4429       1968  4.243   9.899  26.0 45.000     4426     1965     4435     1973      9      8      4425      1970      4432      1963      4435      1966      4428      1973      4401      1940      4460      1998 PARcau 7.935248e-03 0.043014 0.949050
    40   1       4429       1967  4.301  12.104  16.5 53.130     4426     1965     4435     1975      9     10      4423      1970      4432      1963      4435      1966      4425      1974      4401      1940      4460      2000 PARcau 3.555123e-02 0.132515 0.831934
    41   1       4429       1968  2.828   8.602  16.5 53.130     4426     1965     4434     1972      8      7      4424      1969      4431      1964      4433      1966      4426      1971      4401      1940      4459      1997 PARcau 3.953125e-03 0.399016 0.597031
    49   1       4435       1975  4.000   9.000  28.5 90.000     4431     1974     4441     1979     10      5      4431      1974      4440      1974      4440      1978      4431      1978      4406      1949      4466      2004 PARcau 1.674088e-01 0.000025 0.832566
