 Frame  ID  CentroidX  CentroidY  Width  Length   Area  Angle  Box_TLX  Box_TLY  Box_BRX  Box_BRY  Box_W  Box_H  rBox_TLX  rBox_TLY  rBox_TRX  rBox_TRY  rBox_BRX  rBox_BRY  rBox_BLX  rBox_BLY  lBox_TLX  lBox_TLY  lBox_BRX  lBox_BRY  Label       HOMver       NONpro   PARcau
    21   0       4865       2835 12.021  16.263  152.0 45.000     4858     2829     4875     2843     17     14      4864      2826      4876      2838      4867      2846      4856      2835      4833      2804      4900      2868 PARcau 9.320175e-03 5.268160e-05 0.990627
    21   1       1140       1693  9.000  29.000  224.0 90.000     1125     1689     1155     1699     30     10      1125      1689      1154      1689      1154      1698      1125      1698      1100      1664      1180      1724 PARcau 1.537585e-02 1.955922e-04 0.984429
    21   2       4362        863 10.000  26.401  194.0 53.130     4352      855     4375      874     23     19      4349       867      4370       851      4376       859      4355       875      4327       830      4400       899 PARcau 1.091045e-06 2.736463e-09 0.999999
    21   3       4631        691 15.692  25.812  298.0 68.199     4623      678     4641      704     18     26      4618       682      4633       676      4642       700      4628       706      4598       653      4666       729 PARcau 9.572205e-05 1.401565e-03 0.998503
    21   4       4094        633 12.500  29.887  287.0 73.301     4086      619     4103      649     17     30      4083       620      4095       617      4104       645      4092       649      4061       594      4128       674 PARcau 2.206371e-02 3.417591e-02 0.943760
    21   5        858        230 14.000  23.000  261.5 90.000      847      224      871      239     24     15       847       224       870       224       870       238       847       238       822       199       896       264 PARcau 4.564808e-04 1.933163e-08 0.999543
    21   6       2710        192 12.649  31.623  304.0 71.565     2696      184     2726      201     30     17      2693       191      2723       181      2727       193      2697       203      2671       159      2751       226 PARcau 3.146795e-05 4.995351e-06 0.999964
    22   1       1133       1695 10.000  28.000  223.5 90.000     1119     1690     1148     1701     29     11      1119      1690      1147      1690      1147      1700      1119      1700      1094      1665      1173      1726 PARcau 5.870856e-03 4.493424e-06 0.994125
    22   2       4370        858  9.899  25.456  188.0 45.000     4360      850     4383      868     23     18      4358       863      4376       845      4383       852      4365       870      4335       825      4408       893 PARcau 1.092641e-03 7.901999e-05 0.998828
    22   6       2701        195 12.083  30.414  282.5 63.435     2687      187     2716      205     29     18      2685       197      2712       183      2717       194      2690       208      2662       162      2741       230 PARcau 4.344243e-03 6.349751e-05 0.995592
    22   4       4089        623 12.649  30.083  282.5 74.055     4083      608     4098      638     15     30      4079       610      4091       606      4099       635      4087       639      4058       583      4123       663 PARcau 5.147110e-05 1.343224e-03 0.998605
