 Frame  ID  CentroidX  CentroidY  Width  Length  Area  Angle  Box_TLX  Box_TLY  Box_BRX  Box_BRY  Box_W  Box_H  rBox_TLX  rBox_TLY  rBox_TRX  rBox_TRY  rBox_BRX  rBox_BRY  rBox_BLX  rBox_BLY  lBox_TLX  lBox_TLY  lBox_BRX  lBox_BRY  Label       NONpro   PARcau
    21   0       3796       2501  8.000  19.000 112.0 90.000     3787     2498     3807     2507     20      9      3787      2498      3806      2498      3806      2506      3787      2506      3762      2473      3832      2532 PARcau 4.778534e-05 0.999952
    21   1       3276       2267  8.944  25.942 177.0 63.435     3265     2261     3290     2275     25     14      3263      2269      3286      2257      3290      2265      3267      2277      3240      2236      3315      2300 PARcau 5.274113e-09 1.000000
    21   2       2819       1907  9.605  24.520 175.0 38.660     2812     1898     2829     1918     17     20      2808      1913      2823      1894      2831      1900      2815      1919      2787      1873      2854      1943 PARcau 3.199164e-11 1.000000
    21   3       2740       1319  9.434  26.627 168.5 56.310     2729     1311     2752     1329     23     18      2726      1323      2748      1308      2753      1316      2731      1331      2704      1286      2777      1354 PARcau 3.157810e-09 1.000000
    21   4       4293        745 10.920  27.354 217.5 18.435     4287      732     4300      759     13     27      4292       730      4302       733      4294       759      4283       756      4262       707      4325       784 PARcau 1.499377e-05 0.999985
    21   5       1132        635  9.000  29.000 193.5 90.000     1118      631     1148      641     30     10      1118       631      1147       631      1147       640      1118       640      1093       606      1173       666 PARcau 1.040081e-08 1.000000
    21   6       4595        312  9.899  24.759 183.0 45.000     4584      304     4607      322     23     18      4590       299      4607       317      4600       324      4583       306      4559       279      4632       347 PARcau 1.867835e-02 0.981322
    21   7        611        287  9.618  30.635 216.0 63.435      603      274      622      301     19     27       609       270       622       298       614       302       600       275       578       249       647       326 PARcau 2.690148e-10 1.000000
    21   8       3675        229 11.314  22.627 203.0 45.000     3665      221     3686      239     21     18      3663       233      3679       217      3687       225      3671       241      3640       196      3711       264 PARcau 2.110354e-05 0.999979
    22   1       3280       2265  8.944  25.942 179.0 63.435     3269     2258     3294     2273     25     15      3267      2267      3290      2255      3294      2263      3271      2275      3244      2233      3319      2298 PARcau 1.115436e-08 1.000000
