 Frame  ID  CentroidX  CentroidY  Width  Length   Area  Angle  Box_TLX  Box_TLY  Box_BRX  Box_BRY  Box_W  Box_H  rBox_TLX  rBox_TLY  rBox_TRX  rBox_TRY  rBox_BRX  rBox_BRY  rBox_BLX  rBox_BLY  lBox_TLX  lBox_TLY  lBox_BRX  lBox_BRY  Label       NONpro   PARcau
    21   0        959       2656  5.385   5.831   17.5 63.435      956     2655      963     2661      7      6       955      2655       960      2653       963      2658       958      2660       931      2630       988      2686 PARcau 1.392338e-02 0.986077
    21   1       1038       2629 15.435  17.443  167.0 26.565     1029     2621     1047     2638     18     17      1034      2616      1048      2623      1040      2638      1026      2632      1004      2596      1072      2663 PARcau 2.439440e-03 0.997561
    21   2        436       2623  7.566  15.075   62.0 84.806      432     2617      441     2633      9     16       431      2617       439      2616       440      2631       433      2632       407      2592       466      2658 PARcau 1.744894e-04 0.999826
    21   3       4752       2552  8.246  22.804  128.5 15.945     4748     2542     4759     2564     11     22      4751      2540      4759      2542      4753      2564      4745      2562      4723      2517      4784      2589 PARcau 4.498742e-05 0.999955
    21   4       3584       2429  8.544  26.926   84.5 68.199     3577     2417     3592     2442     15     25      3583      2414      3593      2439      3585      2442      3575      2417      3552      2392      3617      2467 PARcau 3.289955e-04 0.999671
    21   5        432       2285  4.743  17.103   24.5 15.255      429     2276      437     2294      8     18       433      2275       437      2277       433      2293       428      2292       404      2251       462      2319 PARcau 6.800094e-07 0.999999
    21   6        544       2222  5.831   6.403   27.0 33.690      541     2219      548     2227      7      8       543      2217       548      2221       545      2226       540      2222       516      2194       573      2252 PARcau 2.132585e-02 0.978674
    21   7        469       2140 10.198  22.361  109.0 10.620      463     2130      475     2153     12     23       466      2129       476      2131       472      2153       462      2151       438      2105       500      2178 PARcau 1.527054e-04 0.999847
    21   8        814       2009 12.728  12.728   92.0 45.000      805     2003      820     2017     15     14       813      2001       822      2010       813      2019       804      2010       780      1978       845      2042 PARcau 1.111685e-01 0.888832
    21   9        473       2002  5.385  20.616   37.5 21.801      469     1993      478     2012      9     19       466      2010       474      1991       479      1993       471      2012       444      1968       503      2037 PARcau 1.375021e-05 0.999986
    21  10       1176       1875 17.000  24.000  246.0 90.000     1163     1867     1188     1885     25     18      1163      1867      1187      1867      1187      1884      1163      1884      1138      1842      1213      1910 PARcau 8.644170e-01 0.135583
    21  11        637       1714 12.806  12.806  114.0 50.194      630     1708      644     1722     14     14       628      1713       638      1705       646      1715       636      1723       605      1683       669      1747 PARcau 1.838065e-02 0.981619
    21  12       4567       1495  4.472  18.601   27.5 36.027     4558     1490     4575     1502     17     12      4560      1487      4575      1498      4573      1502      4558      1491      4533      1465      4600      1527 PARcau 1.338018e-03 0.998662
    21  13       1614       1466  8.485   9.899   54.5 45.000     1610     1462     1620     1474     10     12      1613      1460      1620      1467      1614      1473      1607      1466      1585      1437      1645      1499 PARcau 8.351007e-03 0.991649
    21  14        512       1419 16.155  17.088  198.5 69.444      503     1411      521     1430     18     19       501      1415       517      1409       523      1424       507      1430       478      1386       546      1455 PARcau 1.065278e-01 0.893472
    21  15       1117       1305  8.485   8.485   46.5 45.000     1113     1301     1123     1310     10      9      1117      1300      1123      1306      1117      1312      1111      1306      1088      1276      1148      1335 PARcau 3.282021e-02 0.967180
    21  16       1576       1287  7.000   7.000   41.5 90.000     1573     1284     1581     1292      8      8      1573      1284      1580      1284      1580      1291      1573      1291      1548      1259      1606      1317 PARcau 5.400430e-02 0.945996
    21  17        593       1254 12.349  14.577  120.0 59.036      587     1248      601     1264     14     16       584      1253       597      1245       603      1256       591      1263       562      1223       626      1289 PARcau 2.158397e-05 0.999978
    21  18       1511       1112  5.000   6.000   21.5 90.000     1508     1110     1515     1116      7      6      1508      1110      1514      1110      1514      1115      1508      1115      1483      1085      1540      1141 PARcau 3.132132e-03 0.996868
    21  19       1925       1099  8.078  15.042   80.0 68.199     1918     1095     1933     1105     15     10      1916      1098      1930      1093      1933      1100      1919      1106      1893      1070      1958      1130 PARcau 5.403504e-05 0.999946
    21  20        499       1043 12.530  15.264  129.0 60.255      492     1037      507     1052     15     15       490      1042       503      1034       509      1045       496      1053       467      1012       532      1077 PARcau 1.143178e-04 0.999886
    21  21       1074        826  9.000  10.000   65.0 90.000     1069      822     1080      832     11     10      1069       822      1079       822      1079       831      1069       831      1044       797      1105       857 PARcau 9.453130e-02 0.905469
    21  22        505        824 17.117  18.111  210.5 82.875      495      817      514      835     19     18       494       818       512       816       514       833       496       835       470       792       539       860 PARcau 3.432285e-05 0.999966
    21  23       1518        777  8.485   9.899   58.0 45.000     1514      773     1524      784     10     11      1512       779      1519       772      1525       778      1518       785      1489       748      1549       809 PARcau 1.444094e-03 0.998556
    21  24       1322        755 36.473  47.447  887.0 28.443     1294      739     1345      775     51     36      1309       727      1350       750      1333       782      1291       759      1269       714      1370       800 PARcau 3.659241e-01 0.634076
    21  25       4415        684 10.000  17.000  140.5 90.000     4407      680     4425      691     18     11      4407       680      4424       680      4424       690      4407       690      4382       655      4450       716 PARcau 4.182107e-03 0.995818
    21  26       1255        607  4.472   6.708   19.0 63.435     1252      605     1260      610      8      5      1251       606      1257       603      1259       607      1253       610      1227       580      1285       635 PARcau 6.815829e-03 0.993184
    21  27        560        612  7.810  19.209  121.0 38.660      553      604      568      621     15     17       551       617       563       602       569       607       557       622       528       579       593       646 PARcau 6.132533e-08 1.000000
    21  28       1415        559  7.000   9.000   48.5 90.000     1411      556     1421      564     10      8      1411       556      1420       556      1420       563      1411       563      1386       531      1446       589 PARcau 1.390878e-03 0.998609
    21  29        530        521 15.811  15.811  173.0 71.565      521      514      539      531     18     17       520       515       535       510       540       525       525       530       496       489       564       556 PARcau 3.271418e-04 0.999673
    21  30       1269        498  5.000   8.000   31.5 90.000     1265      496     1274      502      9      6      1265       496      1273       496      1273       501      1265       501      1240       471      1299       527 PARcau 4.363791e-06 0.999996
    21  31        485        400 11.314  15.556  116.0 45.000      479      394      492      409     13     15       476       402       487       391       495       399       484       410       454       369       517       434 PARcau 3.470976e-03 0.996529
    21  32       4988        358  5.000   7.000   25.0 90.000     4986      356     4994      362      8      6      4986       356      4993       356      4993       361      4986       361      4961       331      5019       387 PARcau 3.910068e-03 0.996090
    21  33       4909        351  5.000   6.000   20.0  0.000     4907      348     4913      355      6      7      4907       348      4912       348      4912       354      4907       354      4882       323      4938       380 PARcau 4.316963e-04 0.999568
    21  34       1909        353 12.083  26.833  150.5 26.565     1893      346     1921      362     28     16      1897       341      1921       353      1916       364      1892       352      1868       321      1946       387 PARcau 1.591389e-02 0.984086
    21  35       1517        343 18.028  31.953  351.0 21.038     1499      333     1532      355     33     22      1503       329      1533       340      1527       357      1497       346      1474       308      1557       380 PARcau 4.452767e-01 0.554723
    22  16       1576       1287  7.000   7.000   37.5 90.000     1573     1284     1581     1292      8      8      1573      1284      1580      1284      1580      1291      1573      1291      1548      1259      1606      1317 PARcau 6.252848e-02 0.937472
    22  14        512       1419 15.890  16.808  182.5 66.038      503     1411      520     1430     17     19       501      1415       517      1409       523      1423       508      1430       478      1386       545      1455 PARcau 6.559020e-02 0.934410
    22  31        485        400 11.314  14.866  106.5 45.000      479      394      492      409     13     15       476       402       486       391       494       399       484       410       454       369       517       434 PARcau 1.813931e-01 0.818607
    22  17        593       1254 12.207  14.422  111.0 56.310      586     1248      601     1262     15     14       584      1254       596      1246       603      1256       591      1264       561      1223       626      1287 PARcau 5.523857e-02 0.944761
    22  33       4909        351  4.472   6.325   17.5 18.435     4907      348     4913      355      6      7      4907       348      4913       350      4911       354      4905       352      4882       323      4938       380 PARcau 3.729378e-04 0.999627
    22  10       1176       1875 17.678  23.759  179.0 81.254     1163     1867     1188     1886     25     19      1162      1869      1185      1866      1188      1883      1164      1887      1138      1842      1213      1911 PARcau 9.190382e-01 0.080962
    22  13       1614       1466  7.632   8.322   20.0 30.964     1610     1463     1620     1473     10     10      1612      1461      1619      1465      1615      1472      1608      1467      1585      1438      1645      1498 PARcau 1.665898e-02 0.983341
    22  23       1518        777  8.944   8.944   54.5 63.435     1514      773     1524      784     10     11      1512       776      1520       772      1524       780      1516       784      1489       748      1549       809 PARcau 1.633058e-02 0.983669
    22  21       1074        826  9.000   9.000   50.5 90.000     1070      822     1080      832     10     10      1070       822      1079       822      1079       831      1070       831      1045       797      1105       857 PARcau 8.877194e-03 0.991123
