Parameter,Estimate,Est.Error,l.95..CI,u.95..CI,Rhat,Bulk_ESS,Tail_ESS
random,NA,NA,NA,NA,NA,NA,NA
sd(Intercept),0.786376,0.237896,0.448239,1.35359,1.00021,5158.16,6239.32
fixed,NA,NA,NA,NA,NA,NA,NA
Intercept,49.3056,1.1351,47.0528,51.5413,0.999851,6307.43,6247.92
mean_length_um,0.147228,0.00457725,0.138349,0.156175,0.999806,6137.88,6111.5
time_point,0.126198,0.120748,-0.110538,0.360323,1.0006,6434.21,6181.56
treatment25,0.0103735,0.869966,-1.71206,1.71827,0.99978,6437.69,6144.08
predator_treatmentdidinium,2.00054,0.884054,0.265939,3.73973,1.00013,6397.62,6371.67
predator_treatmenthomalozoon,-0.643882,0.893135,-2.39717,1.09887,1.00014,6557.03,6354.43
mean_length_um:time_point,0.00195762,4.92108e-4,9.91002e-4,0.00291977,1.00067,6326.23,6235.14
mean_length_um:treatment25,0.028773,0.00447148,0.0198347,0.0373926,0.999921,6247.61,5913.39
time_point:treatment25,-0.932808,0.137459,-1.2009,-0.663298,1.00056,6337.43,6175.96
mean_length_um:predator_treatmentdidinium,-0.0350769,0.00467037,-0.0441451,-0.0260725,0.999993,6456.44,5783.35
mean_length_um:predator_treatmenthomalozoon,-0.012775,0.00423923,-0.0212961,-0.00444485,1.0005,6394.15,6247.13
time_point:predator_treatmentdidinium,2.34988,0.188111,1.98675,2.72935,1.00077,6180.03,6085.04
time_point:predator_treatmenthomalozoon,-0.244748,0.171131,-0.578427,0.101635,1.00098,6067.46,5973.45
treatment25:predator_treatmentdidinium,-1.63756,0.904485,-3.37423,0.122037,1.00038,6292.47,5816.41
treatment25:predator_treatmenthomalozoon,1.19571,0.908142,-0.557822,2.97254,1.00006,6309.25,6230.88
mean_length_um:time_point:treatment25,0.00248009,6.59299e-4,0.00118026,0.00378403,1.00049,6359.55,6198.21
mean_length_um:time_point:predator_treatmentdidinium,-0.00962799,8.30944e-4,-0.0112898,-0.00801972,1.00112,6069.28,6177.46
mean_length_um:time_point:predator_treatmenthomalozoon,0.00194508,7.41487e-4,4.71583e-4,0.00338102,1.00126,6266.63,6157.36
mean_length_um:treatment25:predator_treatmentdidinium,0.0471153,0.00598539,0.0354299,0.058835,1.00027,6234.01,6247.11
mean_length_um:treatment25:predator_treatmenthomalozoon,0.0266216,0.00540944,0.0160293,0.03724,1.0001,6332.23,6188.22
time_point:treatment25:predator_treatmentdidinium,-1.91,0.207618,-2.31779,-1.50111,1.00064,6133.97,6133.32
time_point:treatment25:predator_treatmenthomalozoon,0.485441,0.196511,0.0991674,0.864478,1.00143,5935.1,6266.65
mean_length_um:time_point:treatment25:predator_treatmentdidinium,0.00729234,0.00100983,0.00527923,0.00927357,1.00063,6063.9,6415
mean_length_um:time_point:treatment25:predator_treatmenthomalozoon,-0.00316825,9.42154e-4,-0.00503427,-0.00135229,1.00155,6274.02,6290.36
