Parameter,Estimate,Est.Error,l.95..CI,u.95..CI,Rhat,Bulk_ESS,Tail_ESS
random,NA,NA,NA,NA,NA,NA,NA
sd(Intercept),0.032288,0.00997887,0.0185864,0.0567139,0.999491,2221.96,1885.03
fixed,NA,NA,NA,NA,NA,NA,NA
Intercept,0.98788,0.0125158,0.964496,1.0125,0.999736,2112.56,2297.96
treatment25,-0.162906,0.00825575,-0.178838,-0.146556,0.999889,2521.42,2293.74
predator_treatmentdidinium,-0.023452,0.0110037,-0.0450324,-0.00181212,1.00122,2597.82,2373.69
predator_treatmenthomalozoon,-0.152241,0.00838239,-0.168739,-0.135576,1.00051,2521.92,2182.9
treatment25:predator_treatmentdidinium,0.0362027,0.0135251,0.00989576,0.0616381,0.999566,2512.81,2171.33
treatment25:predator_treatmenthomalozoon,0.115257,0.0110822,0.0935921,0.136882,1.00035,2483.94,2177.37
stime_point_1,-0.773452,0.712908,-2.12149,0.606147,1.00064,2512.5,2236.29
stime_point:treatment15_1,-2.83984,0.734646,-4.29979,-1.37169,1.00081,2074.27,2459.12
stime_point:treatment25_1,2.11897,0.719757,0.75832599999999994,3.57917,1.00141,2302.37,2242.49
stime_point:predator_treatmentprey_1,-0.248544,0.713441,-1.61801,1.08314,0.999901,2325.09,2387.54
stime_point:predator_treatmentdidinium_1,-0.146892,0.72022,-1.57443,1.22948,0.999757,2646.13,2245.87
stime_point:predator_treatmenthomalozoon_1,-0.360475,0.69903,-1.71498,0.977861,0.99971,2370.23,2208.09
stime_point:treat_inter15.prey_1,-1.1287,0.747467,-2.67491,0.326636,1.00026,2488.85,2253.99
stime_point:treat_inter25.prey_1,0.891553,0.759003,-0.571692,2.38946,1.00033,2452.21,1951.36
stime_point:treat_inter15.didinium_1,-0.732296,0.737661,-2.14112,0.722705,0.999707,2485.73,2293.88
stime_point:treat_inter25.didinium_1,0.56358,0.73597,-0.860894,2.02058,0.999305,2513.09,2279.8
stime_point:treat_inter15.homalozoon_1,-0.947127,0.739241,-2.3996,0.46454,0.999207,2314.73,2245.19
stime_point:treat_inter25.homalozoon_1,0.594918,0.73243,-0.838525,2.06686,1.00137,2608.33,2368.92
splines,NA,NA,NA,NA,NA,NA,NA
sds(stime_point_1),0.307392,0.248855,0.0107117,0.940152,0.999828,2179.9,2270.93
sds(stime_pointtreatment15_1),1.70593,0.557469,0.913628,3.07054,0.999928,2246.79,2415.38
sds(stime_pointtreatment25_1),0.499924,0.291744,0.0310471,1.20501,1.0001,1786.15,1900.98
sds(stime_pointpredator_treatmentprey_1),0.177716,0.178538,0.00564805,0.671379,1.00097,2371.58,2361.7
sds(stime_pointpredator_treatmentdidinium_1),0.25627,0.224686,0.0086441,0.811437,0.999659,2228.02,2353.27
sds(stime_pointpredator_treatmenthomalozoon_1),0.167523,0.158523,0.00598371,0.568188,0.999769,2316.9,2216.75
sds(stime_pointtreat_inter15.prey_1),0.335869,0.24741,0.0160462,0.987673,0.999979,2239.92,2231.99
sds(stime_pointtreat_inter25.prey_1),0.286994,0.248584,0.010402,0.906562,1.00015,2009.31,2291.13
sds(stime_pointtreat_inter15.didinium_1),0.302963,0.278698,0.00918381,1.00664,1.00065,2082.95,2332.84
sds(stime_pointtreat_inter25.didinium_1),0.411306,0.320865,0.018519,1.20881,0.999996,2280.09,2500.88
sds(stime_pointtreat_inter15.homalozoon_1),0.593852,0.412578,0.0264424,1.54124,1.00032,1935.83,2051.45
sds(stime_pointtreat_inter25.homalozoon_1),0.196352,0.189512,0.00602522,0.688108,1.00142,2261.24,2308.81
